	Feature	Coefficient
261	msp_0279	0.0007096124726568662
77	msp_0081	0.0007039462769657176
1989	msp_2947	0.0006906874870407736
1718	msp_2366	0.0006906874870407736
1971	msp_2923	0.0006906874870407736
1669	msp_2293	0.0006906874870407736
1656	msp_2274	0.0006906874870407736
703	msp_0777	0.0006905227223642521
1599	msp_1808	0.0006817755822988366
922	msp_1042	0.0006794265528903736
1945	msp_2869	0.0006704688610953135
1269	msp_1502	0.0006698328322665426
49	msp_0053	0.0006664921842659936
1288	msp_1531c	0.0006658988426805812
417	msp_0452	0.0006578076843931108
381	msp_0412	0.0006523453301907206
1203	msp_1403	0.0006479114488448206
391	msp_0424	0.0006464396502517588
32	msp_0035	0.0006461014618580275
1817	msp_2535	0.0006460560778309809
799	msp_0890c	0.000643452546323355
1781	msp_2462	0.0006429422828259224
1122	msp_1293	0.0006399520862526356
1442	msp_1799	0.0006345773261474526
1793	msp_2492	0.0006344619611855096
572	msp_0627	0.000631278686947571
288	msp_0311	0.0006297287263627935
604	msp_0660	0.0006273033910082485
533	msp_0581	0.0006160608431626401
421	msp_0456	0.0006159329876665769
1372	msp_1665	0.0006141078210039034
1647	msp_2265	0.0006122561403387748
1430	msp_1767	0.00060820637849927
852	msp_0953	0.0006025824095222261
1580	msp_1327	0.0006010278477472852
1824	msp_2550	0.0005943897577247005
289	msp_0312	0.0005878552808725597
742	msp_0821	0.0005815453803668906
1705	msp_2348	0.0005765971883630267
512	msp_0560	0.0005753134680621442
1673	msp_2297	0.0005732222361384747
887	msp_0996	0.0005701616034546479
1087	msp_1246	0.0005685118622641254
1306	msp_1558	0.0005666997465826209
1400	msp_1705	0.0005529114209159532
451	msp_0490	0.0005522398792473501
1561	msp_0197	0.0005500690896781977
705	msp_0779	0.0005476970302171042
1684	msp_2317	0.0005461976480728247
620	msp_0678	0.0005447457017826758
1070	msp_1222	0.0005440391212360881
1322	msp_1587	0.0005422541295497365
463	msp_0503	0.0005221785989022067
551	msp_0604	0.0005186463092113632
263	msp_0281	0.0005114517755521194
1850	msp_2594	0.0005101928109138024
1438	msp_1780c	0.0005094706988091961
365	msp_0395	0.0005052122771907952
1715	msp_2363	0.0005022077287225548
1462	msp_1854	0.0004967194894501617
1446	msp_1820	0.0004959014379338775
203	msp_0218	0.0004920186777977667
801	msp_0892	0.0004858599184640689
78	msp_0083	0.0004844909385383512
1234	msp_1451	0.0004813774901109376
1741	msp_2396	0.00047640982521636455
1592	msp_1789	0.00047207388272053354
1220	msp_1432	0.00046910888010537674
800	msp_0891	0.0004668057971841134
1017	msp_1155	0.0004658815082712299
1329	msp_1599	0.00046242966284373583
1209	msp_1410	0.0004557903400134407
1879	msp_2658	0.00045177038384415817
259	msp_0277	0.000448101937444314
827	msp_0924	0.00044781185894404545
1675	msp_2301	0.0004475117418659618
1489	msp_1901	0.00044606332787570436
1667	msp_2291	0.0004443498751056848
1443	msp_1814	0.0004411664151674133
71	msp_0075	0.00043992087660750767
1834	msp_2563	0.0004329436153625223
1719	msp_2368	0.00042779938906270976
480	msp_0524	0.0004275061846594849
1067	msp_1219	0.00042470117616254314
626	msp_0686	0.00042085126132036246
1020	msp_1159	0.00042071240161332393
678	msp_0750	0.00042053997892450064
1410	msp_1723	0.0004199288939744328
1621	msp_2234	0.0004195945448946632
728	msp_0806	0.0004176323979555526
50	msp_0054	0.00040841175404648217
1337	msp_1609c	0.00040659881644189606
1051	msp_1198	0.00039847967555794767
291	msp_0315	0.0003927168262245339
1745	msp_2400	0.0003910534563214936
590	msp_0645	0.0003874930502115725
1796	msp_2495	0.0003873363119064526
541	msp_0592	0.00038696395924054007
354	msp_0383	0.000384287778844287
292	msp_0316	0.0003832632472333624
317	msp_0343	0.0003822916540628496
434	msp_0469c	0.00038205070499659505
1700	msp_2343	0.0003757024492319887
509	msp_0556	0.00037064769780942536
146	msp_0157	0.00036267350508920905
1429	msp_1766	0.0003539652345440909
1858	msp_2613	0.00035281980270628104
701	msp_0775	0.0003509837830278139
454	msp_0493	0.00034620781085739676
1968	msp_2919	0.00034195621581919523
1606	msp_2217	0.0003384891405453309
315	msp_0341	0.00033663193871139935
546	msp_0598	0.00033628265838782167
723	msp_0800	0.0003356301548365731
1583	msp_1477	0.00033523918938868044
1259	msp_1483	0.0003307147730951948
444	msp_0479	0.00032771525952485735
335	msp_0362	0.0003222458124379232
129	msp_0138	0.0003209579013805995
619	msp_0677c	0.0003191822293669316
873	msp_0979	0.0003099024752960578
785	msp_0872	0.00030984820382179326
683	msp_0757	0.00030455432115274666
107	msp_0114	0.0003026479309760138
1282	msp_1525	0.00030173410166920914
667	msp_0737	0.000300878028762403
151	msp_0162	0.00029153281227428283
1468	msp_1864	0.0002910496440930902
906	msp_1019	0.000282135681999715
28	msp_0031	0.00028169019287666914
351	msp_0379	0.0002800489596164622
858	msp_0960	0.0002746960725734257
1229	msp_1443	0.0002729558883221161
496	msp_0541	0.00026629866027801633
857	msp_0959	0.0002657996588508228
1343	msp_1621	0.00026247318436905295
1562	msp_0212	0.00026223116272731516
923	msp_1043	0.00026084275825886646
504	msp_0551	0.0002575487614712992
1079	msp_1237	0.000256867964791991
1922	msp_2828	0.00025451551820694434
1943	msp_2867	0.00025451551820694434
325	msp_0352	0.0002524916466472509
1863	msp_2623	0.00024918221600504347
1716	msp_2364	0.0002479446900500248
1800	msp_2502	0.0002451975669366716
1598	msp_1805	0.0002428027082643548
1622	msp_2235	0.00024111452631890175
38	msp_0041	0.0002401496777174051
1570	msp_0715c	0.00023778719564248723
583	msp_0638	0.0002369692714003532
1783	msp_2469	0.00023455720191558024
1774	msp_2450	0.0002335509975106627
544	msp_0596	0.00023155346663039877
1690	msp_2329	0.00022960095438623679
85	msp_0090	0.00022653328281370207
15	msp_0016	0.00022569732251812602
580	msp_0635	0.00021935245026686537
995	msp_1128	0.0002163472380124599
206	msp_0222	0.00021366735165889207
260	msp_0278	0.00021188476117288955
1559	msp_0030	0.00020794200599341455
179	msp_0192	0.0002056188239486583
243	msp_0260	0.00019954145803609844
1278	msp_1519	0.00019829508493662533
707	msp_0781	0.00019292581879167713
1052	msp_1200	0.0001892412934506936
89	msp_0095	0.00018464229399218612
109	msp_0117	0.0001835926206959456
39	msp_0042	0.00017658818689716686
942	msp_1063c	0.0001672500579529536
921	msp_1041	0.00016485555336174073
613	msp_0671	0.00016273859447182487
1893	msp_2694	0.00016201448480631414
601	msp_0657	0.00016161996616665091
1198	msp_1397c	0.00015581512293510162
137	msp_0146c	0.0001521885409855408
818	msp_0911	0.00015201957238947068
458	msp_0498	0.00015103378835570216
839	msp_0939	0.0001508312705591865
252	msp_0270	0.00015077611588967135
530	msp_0578	0.0001504125023904901
273	msp_0294	0.00014980598513975163
274	msp_0296	0.00014539815392677763
1048	msp_1195	0.00013833079200417642
1587	msp_1702	0.00013424908541289005
1004	msp_1139	0.00013309100574238948
42	msp_0045	0.00012911716044264397
642	msp_0705	0.0001287804539853798
270	msp_0290	0.00012249795440303556
500	msp_0546	0.00012176713393335577
958	msp_1085	0.00010664441061490595
177	msp_0190	0.00010495417713727315
221	msp_0238	9.812398985652309e-05
378	msp_0409	9.678022177689008e-05
334	msp_0361	9.202054982560685e-05
