	Feature	Coefficient
248	msp_0265	0.0007559973086851715
1808	msp_2514	0.0007498149367457448
1306	msp_1558	0.0007467963186067561
1460	msp_1852	0.000746541766025383
1422	msp_1747	0.0007437008437663324
99	msp_0106	0.0007419081094798209
397	msp_0431	0.0007415449870793892
918	msp_1037	0.0007414424165826096
347	msp_0375	0.0007406473736591767
1767	msp_2436	0.0007377347257542336
1250	msp_1471c	0.0007369335028918011
508	msp_0555	0.0007368951121373054
1640	msp_2257	0.0007358740767356044
160	msp_0173	0.0007295683996141974
780	msp_0865	0.0007188990024920693
14	msp_0015	0.0007176719893137905
1977	msp_2931	0.0007138841554022638
1803	msp_2509	0.0007104357263350589
1096	msp_1257	0.0007065486931573796
92	msp_0098	0.0007054736853822514
32	msp_0035	0.0007037580369207926
604	msp_0660	0.0006975400860384217
771	msp_0854	0.0006951511423176302
1822	msp_2544	0.0006925219352062894
319	msp_0345	0.0006876623310016344
827	msp_0924	0.0006835043861779916
1736	msp_2391	0.0006833360923346771
922	msp_1042	0.0006810647651630704
391	msp_0424	0.0006800195917355313
956	msp_1082	0.000677549214579393
1617	msp_2229	0.0006752441626025763
1269	msp_1502	0.0006738413435697946
381	msp_0412	0.0006736373472835721
1394	msp_1696c	0.0006722652893849252
799	msp_0890c	0.0006691388061037569
572	msp_0627	0.0006645670283780375
1962	msp_2909	0.0006642641779707086
1288	msp_1531c	0.0006605841657339449
1462	msp_1854	0.000656158497558765
365	msp_0395	0.0006492404676418404
560	msp_0615	0.000648609687191912
1817	msp_2535	0.000645081194827342
261	msp_0279	0.000644623962354665
1070	msp_1222	0.0006444655846009997
49	msp_0053	0.0006406063836377905
1647	msp_2265	0.0006369371287633369
1372	msp_1665	0.0006280982982142887
1430	msp_1767	0.0006238973460089379
1684	msp_2317	0.0006210536737780673
417	msp_0452	0.0006185708138486341
953	msp_1077	0.0006156404520998586
533	msp_0581	0.000609263267019112
1725	msp_2376	0.0006029209741093517
1122	msp_1293	0.0006020917119463126
1743	msp_2398	0.0005993441259885902
